Rating,Number Of Ratings,Address
5/5,5 ratings,"1645 Briargate Parkway, Ste 203, Colorado Springs, CO 80920"
Roasted Artichoke + Spinach,$14.79,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$15.49,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$14.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$12.49,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies"
Bolognese Spaghetti,$13.99,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Jambalaya Fettuccine,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$14.99,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$12.49,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$23.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$19.99,Main Plates,"CPK Favorite! Gluten-Free Ingredients. North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.69,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.69,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Fire-Grilled Ribeye,$25.99,Main Plates,"CPK Favorite! 12oz USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad.
*This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Curly Mac 'n' Cheese,$5.79,CPKids, 
Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
Buttered Fusilli,$5.69,CPKids,Vegetarian. With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,CPKids,Vegetarian.
Fusilli Alfredo,$5.69,CPKids,Vegetarian. With Parmesan cream sauce.
CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
Grilled Chicken Breast,$5.99,CPKids,Served with your choice of baby broccoli or fresh fruit.
Crispy Chicken,$6.29,CPKids,"Served with herb ranch, ketchup and your choice of baby broccoli or fresh fruit."
Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
Hawaiian Pizza,$5.59,CPKids,"Pineapple, applewood smoked ham, tomato sauce and Mozzarella."
Traditional Cheese Pizza,$5.49,CPKids,Vegetarian. Tomato sauce and Mozzarella.
Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us.... just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
New! Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages,CPK Favorite!
Sparkling Cranberry Cooler,$3.29,Beverages, 
CPK Lemonade,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
New! Passion Fruit Mango Iced Tea,$2.99,Beverages, 
Frozen Lemonades,$3.99,Beverages, 
Soda (Can),$1.99,Beverages,12oz. can.
Dasani Bottled Water,$1.99,Beverages,½ liter.
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
